ID         交易年月  總價(含車)  單價(含車)  權狀   建坪 
JFFBF08CA  14-09     5228(5888)  50(42)      141.7  104.1
KFFBF78CA  15-05     2820(2820)  32(32)      88.7   88.7 
KFFBF28CA  14-11     2980(2980)  36(36)      83.3   83.3 
NFFBF66CA  18-03     3330(3790)  39(36)      105.1  85.3 
OFFBF76CA  19-06     2850(2850)  32(32)      90.3   90.3 
KFFBF08CA  15-03     4109(4569)  42(39)      116.8  99.0 
HFFBF77CA  12-10     3069(3069)  33(33)      93.5   93.5 
KFFBF88CA  15-05     4113(4623)  49(38)      121.1  83.5 
KFFBF78CA  15-03     3380(3590)  41(39)      92.3   83.4 
KFFBF58CA  14-12     3570(4000)  36(34)      116.1  99.0 
PFFBF66CA  20-02     2700(2700)  32(32)      83.3   83.3 
KFFBF66CA  15-05     3246(3246)  37(37)      87.5   87.5 
IFFBF68CA  13-02     3243(3243)  39(39)      83.3   83.3 
OFFBF86CA  19-03     3150(3150)  32(32)      97.9   97.9 
KFFBF66CA  15-05     5145(5775)  49(41)      141.7  104.1
NFFBF28CA  18-08     5300(5300)  34(34)      154.2  154.2
HFFBF87CA  12-10     3472(3472)  37(37)      94.3   94.3 
IFFBF97CA  13-10     2855(2855)  34(34)      82.9   82.9 
HFFBF97CA  12-10     3483(3483)  37(37)      94.3   94.3 
JFFBF98CA  14-07     3500(3500)  35(35)      98.6   98.6 
KFFBF48CA  14-11     2860(2860)  34(34)      85.3   85.3 
IFFBF38CA  13-01     3503(3503)  37(37)      94.4   94.4 
LFFBF09CA  16-02     3250(3250)  37(37)      87.5   87.5 
NFFBF17CA  18-07     4030(4330)  37(30)      142.9  107.8
IFFBF88CA  13-10     2692(2692)  32(32)      83.1   83.1 
HFFBF97CA  12-10     3058(3058)  32(32)      94.6   94.6 
MFFBF98CA  17-07     3240(3450)  39(38)      91.3   83.0 
KFFBF78CA  15-05     3528(3988)  42(40)      100.5  83.4 
PFFBF66CA  20-02     2640(2640)  33(33)      80.5   80.5 
NFFBF78CA  18-01     2790(2790)  32(32)      87.8   87.8 
JFFBF66CA  14-08     4080(4650)  49(38)      121.1  83.5 
MFFBF07CA  17-07     4820(5240)  46(41)      129.1  104.1
HFFBF08CA  12-10     3517(3517)  34(34)      103.6  103.6
KFFBF38CA  15-01     6442(6882)  49(46)      148.2  130.4
IFFBF28CA  13-09     4260(4260)  40(40)      106.1  106.1
LFFBF68CA  16-10     2739(2739)  33(33)      82.4   82.4 
PFFBF27DA  20-08     3028(3028)  34(34)      90.1   90.1 
MFFBF09CA  17-06     3370(3800)  41(37)      102.2  82.4 
IFFBF58CA  13-12     3100(3100)  34(34)      89.9   89.9 
OFFBF86CA  19-03     3938(4538)  46(40)      114.2  85.1 
KFFBF88CA  15-03     4010(4430)  40(38)      116.4  99.3 
PFFBF09CA  19-11     4680(5200)  46(41)      125.9  100.9
MFFBF18CA  17-09     4125(4560)  48(44)      104.3  85.1 
NFFBF58CA  18-02     2650(2650)  32(32)      83.3   83.3 
LFFBF68CA  16-03     3260(3260)  38(38)      86.4   86.4 
LFFBF68CA  16-01     3280(3280)  39(39)      84.3   84.3 
IFFBF58CA  13-04     3300(3300)  38(38)      88.0   88.0 
IFFBF28CA  13-01     2870(2870)  32(32)      89.9   89.9 
